branch	mode	backend	category	language	test	status	exit_code	duration_seconds	command	log
main	build	host	build	Rust	workspace_build	PASS	0	21.427	timeout 900s cargo build --workspace 	/tmp/hermit-progress-artifacts-final/main-build-workspace_build
main	strict	ptrace	basic_system_binaries	C/C++	c_ls	PASS	0/0	0.099	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/ls --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/ls --version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-c_ls
main	strict	ptrace	basic_system_binaries	C/C++	cpp_gpp	PASS	0/0	0.175	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/g++ --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/g++ --version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-cpp_gpp
main	strict	ptrace	basic_system_binaries	Rust	rustc_version	PASS	0/0	0.206	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /home/newton/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/bin/rustc --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /home/newton/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/bin/rustc --version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-rustc_version
main	strict	ptrace	basic_system_binaries	Python	python_hello	PASS	0/0	0.525	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/python3 -c print\(\'python-ok\'\)  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/python3 -c print\(\'python-ok\'\) 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-python_hello
main	strict	ptrace	basic_system_binaries	Java	java_version	PASS	0/0	0.896	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/java -version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/java -version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-java_version
main	strict	ptrace	basic_system_binaries	Go	go_version	PASS	0/0	0.167	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/go version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/go version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-go_version
main	strict	ptrace	basic_system_binaries	Ruby	ruby_hello	FAIL	1/1	0.132	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/ruby -e puts\ \'ruby-ok\'  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/ruby -e puts\ \'ruby-ok\' 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-ruby_hello
main	strict	ptrace	basic_system_binaries	OCaml	ocaml_version	PASS	0/0	0.139	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/ocaml -version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/ocaml -version 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-ocaml_version
main	strict	ptrace	basic_system_binaries	Node.js	node_hello	PASS	0/0	1.068	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/node -e console.log\(\'node-ok\'\)  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/node -e console.log\(\'node-ok\'\) 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-node_hello
main	strict	ptrace	basic_system_binaries	Other	shell_hello	PASS	0/0	0.089	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/sh -c printf\ \'shell-ok\\n\'  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/sh -c printf\ \'shell-ok\\n\' 	/tmp/hermit-progress-artifacts-final/main-strict-ptrace-shell_hello
main	strict	dbi	basic_system_binaries	C/C++	c_ls	FAIL	2/2	0.013	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/ls --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/ls --version 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-c_ls
main	strict	dbi	basic_system_binaries	C/C++	cpp_gpp	FAIL	2/2	0.012	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/g++ --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/g++ --version 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-cpp_gpp
main	strict	dbi	basic_system_binaries	Rust	rustc_version	FAIL	2/2	0.012	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /home/newton/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/bin/rustc --version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /home/newton/.rustup/toolchains/nightly-x86_64-unknown-linux-gnu/bin/rustc --version 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-rustc_version
main	strict	dbi	basic_system_binaries	Python	python_hello	FAIL	2/2	0.013	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/python3 -c print\(\'python-ok\'\)  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/python3 -c print\(\'python-ok\'\) 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-python_hello
main	strict	dbi	basic_system_binaries	Java	java_version	FAIL	2/2	0.013	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/java -version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/java -version 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-java_version
main	strict	dbi	basic_system_binaries	Go	go_version	FAIL	2/2	0.014	timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled -- /usr/bin/go version  ; timeout 60s /home/newton/work/dev-hermit/worktrees/progress-main-final/target/debug/hermit --log error --backend dbi run --base-env=minimal --no-virtualize-cpuid --preemption-timeout=disabled --verify -- /usr/bin/go version 	/tmp/hermit-progress-artifacts-final/main-strict-dbi-go_version
