test_name	ptrace	dbi	kvm	dbi_reason	kvm_reason
hello_stdout	pass	pass	pass	-	-
argument_forwarding	pass	pass	pass	-	-
exit_zero	pass	pass	pass	-	-
exit_status	pass	pass	pass	-	-
file_read	pass	pass	pass	-	-
pthread_lifecycle	pass	pass	gap	-	KVM single-vCPU personality does not implement clone and futex thread lifecycle
cpuid_policy	pass	pass	gap	-	KVM exposes the host vendor and maximum leaves instead of Detcore's ptrace CPUID identity
virtual_clock	pass	pass	pass	-	-
random_sources	pass	gap	gap	DBI observes syscalls but does not route random sources through Detcore	KVM random fixture still requires thread lifecycle and page-permission fault enforcement
virtual_pid	pass	pass	pass	-	-
