WORKLOAD                                   DEFAULT  VERIFY   CHAOS    CHAOSPMU  RECORD   STRICT
getpid                                     PASS     PASS     PASS     PASS      PASS     FAIL
uname                                      PASS     PASS     PASS     PASS      PASS     FAIL
sysinfo                                    PASS     PASS     PASS     PASS      PASS     FAIL
wait_on_child                              PASS     PASS     PASS     PASS      PASS     FAIL
nanosleep_parallel                         PASS     PASS     PASS     FAIL      PASS     FAIL
clone                                      PASS     PASS     PASS     PASS      PASS     FAIL
getcpu                                     PASS     PASS     PASS     PASS      PASS     FAIL
hello_alarm                                PASS     PASS     PASS     PASS      PASS     FAIL
hello_signals                              PASS     PASS     PASS     FAIL      PASS     FAIL
just_spin                                  PASS     PASS     PASS     FAIL      PASS     FAIL
memory_pressure                            PASS     PASS     PASS     PASS      PASS     FAIL
print_memaddrs                             PASS     PASS     PASS     PASS      PASS     FAIL
printf_with_threads                        PASS     PASS     PASS     PASS      PASS     FAIL
sigtimedwait_no_timeout                    PASS     PASS     PASS     PASS      PASS     FAIL
sigtimedwait_timeout_0s                    PASS     PASS     PASS     PASS      PASS     FAIL
sigtimedwait_timeout_1s                    PASS     PASS     PASS     PASS      PASS     FAIL
sysinfo_uptime                             PASS     PASS     PASS     PASS      PASS     FAIL
thread_exhaustion                          PASS     PASS     PASS     PASS      PASS     FAIL
lit_hello_world_c                          PASS     PASS     PASS     PASS      PASS     FAIL
lit_rt_sigaction                           PASS     PASS     PASS     FAIL      PASS     FAIL
lit_networking                             PASS     PASS     PASS     PASS      FAIL     FAIL
network_bind                               PASS     PASS     PASS     FAIL      FAIL     FAIL
lit_hello_world_rust                       PASS     PASS     PASS     PASS      PASS     FAIL
rust_stack_ptr                             PASS     PASS     PASS     PASS      PASS     FAIL
rust_heap_ptrs                             PASS     PASS     PASS     PASS      PASS     FAIL
rust_rdtsc                                 PASS     PASS     PASS     PASS      PASS     FAIL
rust_mem_race                              PASS     PASS     PASS     FAIL      PASS     FAIL
minimal_hello                              PASS     PASS     PASS     PASS      PASS     PASS
pread64_nostdlib                           PASS     PASS     PASS     PASS      PASS     PASS
rustbin_bind_connect_race                  PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_clock_gettime                      PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_clock_total_order                  PASS     FAIL     PASS     FAIL      PASS     FAIL
rustbin_exit_group                         PASS     FAIL     PASS     PASS      PASS     FAIL
rustbin_futex_and_print                    PASS     FAIL     FAIL     FAIL      PASS     FAIL
rustbin_futex_timeout                      PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_futex_wait_child                   PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_futex_wake_some                    PASS     FAIL     FAIL     FAIL      PASS     FAIL
rustbin_heap_ptrs                          PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_interrogate_tty                    FAIL     FAIL     FAIL     FAIL      PASS     FAIL
rustbin_nanosleep                          PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_network_hello_world                PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_pipe_basics                        PASS     PASS     PASS     PASS      FAIL     FAIL
rustbin_poll                               PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_poll_spin                          PASS     FAIL     FAIL     PASS      FAIL     FAIL
rustbin_print_clock_nanosleep_monotonic_abs_race PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_print_clock_nanosleep_monotonic_race PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_print_clock_nanosleep_realtime_abs_race PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_print_nanosleep_race               PASS     PASS     PASS     FAIL      PASS     FAIL
rustbin_sched_yield                        PASS     PASS     FAIL     PASS      PASS     FAIL
rustbin_socketpair                         PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_thread_random                      PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_rdtsc                              PASS     PASS     PASS     PASS      PASS     FAIL
rustbin_stack_ptr                          PASS     PASS     PASS     PASS      PASS     FAIL
