WORKLOAD                               MODE     RESULT DETAIL
rustbin_pipe_basics                    record   FAIL   0/2
rustbin_poll_spin                      record   FAIL   0/2
getcpu                                 chaos    PASS   2/2
memory_pressure                        chaos    PASS   2/2
print_memaddrs                         chaos    PASS   2/2
printf_with_threads                    chaos    PASS   2/2
sigtimedwait_no_timeout                chaos    PASS   2/2
sigtimedwait_timeout_0s                chaos    PASS   2/2
sigtimedwait_timeout_1s                chaos    PASS   2/2
sysinfo_uptime                         chaos    PASS   2/2
thread_exhaustion                      chaos    PASS   2/2
lit_hello_world_c                      chaos    PASS   2/2
lit_networking                         chaos    PASS   2/2
lit_hello_world_rust                   chaos    PASS   2/2
rust_stack_ptr                         chaos    PASS   2/2
rust_heap_ptrs                         chaos    PASS   2/2
rust_rdtsc                             chaos    PASS   2/2
rustbin_clock_gettime                  chaos    PASS   2/2
rustbin_exit_group                     chaos    PASS   2/2
rustbin_futex_timeout                  chaos    PASS   2/2
rustbin_futex_wait_child               chaos    PASS   2/2
rustbin_nanosleep                      chaos    PASS   2/2
rustbin_socketpair                     chaos    PASS   2/2
rustbin_thread_random                  chaos    PASS   2/2
rustbin_sched_yield                    chaos    FLAKY  0/2
getcpu                                 record   PASS   2/2
hello_alarm                            record   PASS   2/2
memory_pressure                        record   PASS   2/2
sigtimedwait_no_timeout                record   PASS   2/2
sysinfo_uptime                         record   PASS   2/2
thread_exhaustion                      record   PASS   2/2
rustbin_clock_gettime                  record   PASS   2/2
rustbin_futex_and_print                record   PASS   2/2
rustbin_futex_wake_some                record   PASS   2/2
rustbin_socketpair                     record   PASS   2/2
rustbin_bind_connect_race              record   PASS   2/2
rustbin_network_hello_world            record   PASS   2/2
rustbin_interrogate_tty                record   PASS   2/2
